ID,Smiles,N Params,Solvent
1291,O=C1[C-](C(OCC)=O)CCCCCCCCCC1,20.6,DMSO
1299,CCCC[C-](C(OCC)=O)C(OCC)=O,23.0,DMSO
1308,O=C([C-](C1=CC=C(OC)C=C1)C(OCC)=O)OCC,16.73,DMSO
1241,O=S([CH-]C1=CC=CC=C1)(C2=CC=CC=C2)=O,25.77,DMSO
585,C[C-](C#N)C1=CC=C(C#N)C=C1,25.35,DMSO
1287,O=C1[C-](C(OCC)=O)CCC1,18.63,DMSO
1288,O=C1[C-](C(OCC)=O)CCCC1,18.32,DMSO
563,O=S([CH-]C1=CC=C(C#N)C=C1)(C2=CC=CC=C2)=O,22.6,DMSO
1215,O=C1[C-](CC2=CC=C([N+]([O-])=O)C=C2)C(OC(C)(C)O1)=O,12.02,DMSO
1333,O=S([CH-]S(=O)(C1=CC=CC=C1)=O)(C2=CC=CC=C2)=O,15.68,DMSO
513,O=S([CH-]C1=CC=CC=C1)(C(F)(F)F)=O,18.67,DMSO
1292,O=C1OCCC([C-]1C)=O,14.46,DMSO
1341,O=S([C-](OC)C(OCC)=O)(C1=CC=CC=C1)=O,19.15,DMSO
1239,O=C(C1=CC=CC=C1)[CH-][N+]([O-])=O,13.91,DMSO
1337,F[C-]1S(C2=C(C=CC=C2)S(=O)1=O)(=O)=O,19.03,DMSO
1346,Br[CH-]S(=O)(C1=CC=CC=C1)=O,23.9,DMSO
1347,Cl[CH-]S(C1=CC=C(C#N)C=C1)(=O)=O,25.59,DMSO
1358,O=C(C1=CC=CC=C1)[C-](C(C2=CC=CC=C2)=O)C3=CC=CC=C3,14.99,DMSO
1293,O=C([C-]1CCCOC1=O)C,17.0,DMSO
1135,ClC1=CC=CC([CH-]C(OCC)=O)=C1,27.57,DMSO
1301,O=C([C-](C1=CC=CC=C1)C(OCC)=O)OCC,15.93,DMSO
1304,O=C(C)[C-](C(OCC)=O)C(OCC)=O,13.83,DMSO
1339,O=S([CH-]C(OCC)=O)(C1=CC=CC=C1)=O,18.81,DMSO
1342,F[C-](C(OCC)=O)C(OCC)=O,20.63,DMSO
1356,O=S([C-](C#N)C1=CC=CC=C1)(C2=CC=CC=C2)=O,15.97,DMSO
549,O=[N+](C1=CC=C([CH-]C2=CC=C([N+]([O-])=O)C=C2)C=C1)[O-],19.92,DMSO
1213,O=C1[C-](CC2=CC=CC=C2)C(OC(C)(C)O1)=O,15.02,DMSO
1344,O=C([C-](OC)C(OC)=O)OC,20.08,DMSO
1290,O=C1[C-](C(OCC)=O)CCCCCC1,20.02,DMSO
1354,O=C([C-](C#N)C1=CC=CC=C1)OCC,15.85,DMSO
1343,Cl[C-](C(OCC)=O)C(OCC)=O,18.19,DMSO
1306,O=C1[C-](C(OC(C)(C)O1)=O)C2=CC=CC=C2,11.54,DMSO
1340,F[C-](C(OCC)=O)S(=O)(C1=CC=CC=C1)=O,20.51,DMSO
1298,CC(C)[C-](C(OCC)=O)C(OCC)=O,18.74,DMSO
1300,O=C([C-](C1CCCCC1)C(OCC)=O)OCC,19.23,DMSO
1235,O=C(C1=CC=CC=C1)[CH-]C#N,16.55,DMSO
1357,O=S([C-](S(=O)(C1=CC=CC=C1)=O)C2=CC=CC=C2)(C3=CC=CC=C3)=O,15.07,DMSO
1345,Cl[CH-]S(=O)(C1=CC=CC=C1)=O,28.27,DMSO
1334,F[C-](S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,17.46,DMSO
1348,Cl[CH-]S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O,24.88,DMSO
1349,Cl[CH-]S(C1=CC=C(Cl)C=C1)(=O)=O,26.9,DMSO
1338,O=S(C1=C(C=CC=C1)S2(=O)=O)([C-]2OC)=O,17.36,DMSO
1391,O=C1[CH-]C(NC(N1)=O)=O,15.59,DMSO
1393,O=C1[CH-]C(NC(N1)=S)=O,14.24,DMSO
1392,O=C1[CH-]C(N(C)C(N1C)=O)=O,17.46,DMSO
1355,N#C[C-](C#N)C1=CC=CC=C1,15.58,DMSO
1488,[O-]C1=CC=CC=C1C(F)(F)F,18.47,DMSO
1336,O=S(C1=C(C=CC=C1)S2(=O)=O)([CH-]2)=O,16.06,DMSO
1491,[O-]C1=CC=C(C(F)(F)F)C=C1,18.98,DMSO
1394,O=C1[CH-]C(N(CC)C(N1CC)=S)=O,14.9,DMSO
1476,[O-]C1=CC=C([N+]([O-])=O)C=C1,14.32,DMSO
1482,[O-]C1=CC=CC([N+]([O-])=O)=C1,21.29,DMSO
1450,O=C([CH-]/N=C(C1=CC=CC=C1)/C2=CC=CC=C2)OCC,26.95,DMSO
1454,[H]/C(C1=CC=CC=C1)=N\C(C)[C-]OOCC,30.82,DMSO
1485,[O-]C1=CC=C(C#N)C=C1,18.78,DMSO
1452,[H]/C(C1=CC=CC=C1)=N\[CH-]C(OCC)=O,29.1,DMSO
1455,N#C[CH-]/N=C(C1=CC=CC=C1)/C2=CC=CC=C2,29.5,DMSO
1494,[O-]C1=CC=CC(C(F)(F)F)=C1,22.62,DMSO
1453,[H]/C(C1=CC=C(Cl)C=C1)=N\[CH-]C(OCC)=O,29.02,DMSO
1479,[O-]C1=CC=CC=C1[N+]([O-])=O,15.48,DMSO
1451,O=C([CH-]/N=C(C1=CC=CC=C1)/C2=CC=CC=C2)OC(C)(C)C,27.77,DMSO
1500,[O-]C1=CC=CC=C1,19.86,DMSO
1503,[O-]C1=CC=C(C)C=C1,19.08,DMSO
1512,[O-]C1=C(C(C)(C)C)C=CC=C1C(C)(C)C,21.02,DMSO
1462,O=C(C1=CC=C([N+]([O-])=O)C=C1)[CH-]C(OCC)=O,16.26,DMSO
1505,[O-]C1=CC=C(C(C)(C)C)C=C1,19.67,DMSO
1508,[O-]C1=CC=C(OC)C=C1,20.09,DMSO
1497,[O-]C1=CC=C(Cl)C=C1,20.34,DMSO
1616,[S-]C1=CC=C2C(C=CC=C2)=C1,22.55,DMSO
1605,[S-]C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,19.71,DMSO
1606,[S-]C1=CC=C(C(F)(F)F)C=C1,21.3,DMSO
1608,[S-]C1=CC=CC(Cl)=C1,22.5,DMSO
1615,[S-]C1=CC=C(C)C=C1,24.35,DMSO
1617,[S-]C1=CC=C(OC)C=C1,24.97,DMSO
1610,[S-]C1=CC=CC=C1,23.36,DMSO
1607,[S-]C1=CC=CC(C(F)(F)F)=C1,21.75,DMSO
1609,[S-]C1=CC=C(Br)C=C1,22.8,DMSO
1604,[S-]C1=CC=C([N+]([O-])=O)C=C1,18.92,DMSO
1688,C=C1N(C)C=C(C)C=C1C,21.16,DMSO
1693,C=C1N(C2=CC=C(C(C)(C)C)C=C2)C(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=C1,19.36,DMSO
1689,C=C1N(C)C=CC=C1C,19.91,DMSO
1692,C=C1N(C)C=CC=C1C2=CC=CC=C2,19.41,DMSO
1691,C=C1N(C)C(C)=CC=C1,20.76,DMSO
1694,O=C1[CH-]C2=CC=CC=C2CO1,25.39,DMSO
1695,O=C1[CH-]C2=CC=CC=C2O1,19.6,DMSO
