ID,Smiles,N Params,Solvent
1399,CC(O1)(C)C(C)(C)O[B-]1(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C/C=C/C.[Li+],9.49,acetonitrile
1118,[H]C(C1=CC=C(N(C)C)C=C1)(C2=CC=C(N(C)C)C=C2)C3=CC=C(N(C)C)C=C3,-3.3,acetonitrile
1254,CC(S1)=CC=C1[B-]2(C3=CC=C(C(F)(F)F)C=C3)OCC(C)(C)CO2.[Li+],11.85,acetonitrile
1398,C=CC[B-]1(OC(C)(C)C(C)(C)O1)C2=CC=CC=C2.[Li+],11.2,acetonitrile
1251,CC(O1)=CC=C1[B-]2(C3=CC=C(C(F)(F)F)C=C3)OC(C)(C)C(C)(C)O2.[Li+],8.13,acetonitrile
1117,[H]C(C1=CC=C(OC)C=C1)(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,-7.0,acetonitrile
1122,C1(CCC=C2)=C2C=CC=C1,-3.3,acetonitrile
1362,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,18.11,acetonitrile
1314,CC1=CN=CC=C1,11.5,acetonitrile
1316,CN1CCCC1C2=CC=CC=C2,15.7,acetonitrile
1249,CC(S1)=CC=C1[B-]2(C3=CC=C(N(C)C)C=C3)OC(C)(C)C(C)(C)O2.[Li+],8.02,acetonitrile
1120,[H]C1([H])C2=C(C=CC=C2)N(C)C3=CC=CC=C31,4.0,acetonitrile
1470,O=C(C)C=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,10.27,acetonitrile
1119,[H]C(C1=CC=C(N(C)C)C=C1)(C2=CC=CC=C2)C3=CC=C(N(C)C)C=C3,-4.2,acetonitrile
1477,[O-]C1=CC=C([N+]([O-])=O)C=C1,15.14,acetonitrile
1312,[H][C@@](C1=CN=CC=C1)(CCC2)N2C,11.6,acetonitrile
1116,[H]C(C1=CC=C(C)C=C1)(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,-8.8,acetonitrile
1209,O=C1[C-](CC2=CC=C(N(C)C)C=C2)C(OC(C)(C)O1)=O,7.15,acetonitrile
1528,FC(C1NCCC1)(F)F,11.34,acetonitrile
1469,O=C([H])C=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,9.09,acetonitrile
1211,O=C1[C-](CC2=CC=C(OC)C=C2)C(OC(C)(C)O1)=O,6.21,acetonitrile
1480,[O-]C1=CC=CC=C1[N+]([O-])=O,15.83,acetonitrile
1212,O=C1[C-](CC2=CC=CC=C2)C(OC(C)(C)O1)=O,5.51,acetonitrile
1575,N#CC1=CC=C([CH-]S(=O)(C(F)(F)F)=O)C=C1,15.62,acetonitrile
1464,[H]P1N(C(C)(C)C)C2=C(C=CC=C2)N1C(C)(C)C,20.93,acetonitrile
1457,C/C=C(O[Si](C)(C)C)/C1=CC=CC=C1,5.18,acetonitrile
1414,C=C(C1=CC=CC=C1)N2CCOCC2,10.3,acetonitrile
1486,[O-]C1=CC=C(C#N)C=C1,19.58,acetonitrile
1466,[H]P1N(C(C)(C)C)CCCN1C(C)(C)C,13.46,acetonitrile
1402,N#CC(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3,10.63,acetonitrile
1401,C(/N1CCCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,11.66,acetonitrile
1467,[H]P1N(C(C)(C)C)CCN1C(C)(C)C,18.74,acetonitrile
1463,[H]P1N(C(C)(C)C)C=CN1C(C)(C)C,25.54,acetonitrile
1121,[H]C1([H])C=CCC2=C1C=CC=C2,-2.5,acetonitrile
1449,C[Si](OC1=CCCC1)(C)C,6.43,acetonitrile
1618,CC1(C)O[B-](C(C)=C)(C2=CC=CC=C2)OC1(C)C.[Li+],11.0,acetonitrile
1458,C[Si](OC1=CCC2=CC=CC=C21)(C)C,7.32,acetonitrile
1406,N1(CCCCC1)/C=C/C2=CC=CC=C2,13.84,acetonitrile
1492,[O-]C1=CC=C(C(F)(F)F)C=C1,21.69,acetonitrile
1577,O=[N+](C1=CC=C([CH-]S(=O)(C2=CC=CC=C2)=O)C=C1)[O-],19.9,acetonitrile
1465,[H]P1N(C2=C(C(C)C)C=CC=C2C(C)C)C=CN1C3=C(C(C)C)C=CC=C3C(C)C,19.85,acetonitrile
1495,[O-]C1=CC=CC(C(F)(F)F)=C1,23.2,acetonitrile
1576,O=[N+](C1=CC=C([CH-]C#N)C=C1)[O-],20.1,acetonitrile
1483,[O-]C1=CC=CC([N+]([O-])=O)=C1,25.51,acetonitrile
1574,FC(C1=CC=C([CH-]S(=O)(C(F)(F)F)=O)C=C1)(F)F,16.15,acetonitrile
1527,COC[C@H]1NCCC1,16.5,acetonitrile
1468,[H]P1N(C2=C(C)C=C(C)C=C2C)C=CN1C3=C(C)C=C(C)C=C3C,17.68,acetonitrile
1456,C[Si](O/C(C1=CC=CC=C1)=C\C2=CC=CC=C2)(C)C,3.0,acetonitrile
1489,[O-]C1=CC=CC=C1C(F)(F)F,18.39,acetonitrile
1526,OC[C@H]1NCCC1,16.74,acetonitrile
1404,C(/N1CCCCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,9.94,acetonitrile
1405,C(/N1CCOCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,8.78,acetonitrile
1408,C=C(C1=CC=CC=C1)N2CCCCC2,11.6,acetonitrile
1400,COC(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3,11.99,acetonitrile
1459,C[Si](OC1=CCCC2=CC=CC=C21)(C)C,5.06,acetonitrile
1407,N1(CCOCC1)/C=C/C2=CC=CC=C2,11.66,acetonitrile
1530,O=C(N(C)C)[C@H]1NCCC1,17.61,acetonitrile
1461,C12=CC=CC=C1C(N3CCCC3)=CCC2,14.09,acetonitrile
1540,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,16.18,acetonitrile
1537,O=C(NC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)NC[C@H]2NCCC2,17.5,acetonitrile
1460,C12=CC=CC=C1C(N3CCCC3)=CC2,15.27,acetonitrile
1522,NC[C@H]1NCCC1,17.24,acetonitrile
1579,[O-]C(C1=CC=CC=C1)=O,16.45,acetonitrile
1533,[C@H]1(CN2N=NC(C3=CC=CC=C3)=C2)NCCC1,15.32,acetonitrile
1539,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,12.03,acetonitrile
1524,[C@H]1(CN2CCCC2)NCCC1,18.33,acetonitrile
1525,[N-]=[N+]=NC[C@H]1NCCC1,15.43,acetonitrile
1545,O=C1[C@H](CC2=CC=CC=C2)N[C@H](C3=CC=C(C)O3)N1C,8.76,acetonitrile
1538,C1(C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)NCCC1,9.16,acetonitrile
1403,O=[N+](C(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3)[O-],10.42,acetonitrile
1517,C1CNCC1,18.58,acetonitrile
1529,O=C(OC)[C@H]1NCCC1,14.75,acetonitrile
1520,C1(CC2=CC=CC=C2)NCCC1,17.43,acetonitrile
1546,O=C1[C@H](CC2=CC=CC=C2)N[C@@H](C3=CC=C(C)O3)N1C,7.39,acetonitrile
1541,[N-]=[N+]=NC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,9.9,acetonitrile
1501,[O-]C1=CC=CC=C1,18.53,acetonitrile
1531,O=C(NCCC)[C@H]1NCCC1,15.2,acetonitrile
1532,O=C1C2=C(C=CC=C2)C(N1C[C@H]3NCCC3)=O,15.9,acetonitrile
1498,[O-]C1=CC=C(Cl)C=C1,18.32,acetonitrile
1535,CCCC[N+]1=CN(C[C@H]2NCCC2)C=C1.O=S(C(F)(F)F)([O-])=O,13.57,acetonitrile
1553,CSC,12.7,acetonitrile
1543,O=C1[C@H](CC2=CC=CC=C2)NC(C)(C)N1C,6.04,acetonitrile
1515,O=C([O-])[C@H]1NCCC1,19.95,acetonitrile
